epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,2370.2,0.56852,1.03491,0.12803,0.17184,0.43333,0.21745,0.12958,0.30315,1.26659,0.06993,6.87222e-05,6.87222e-05,6.87222e-05
40,2426.85,0.55483,0.87457,0.11752,0.18428,0.53333,0.2494,0.13782,0.321,1.12935,0.07255,6.72675e-05,6.72675e-05,6.72675e-05
41,2482.49,0.54875,0.99527,0.11528,0.16729,0.43333,0.17272,0.12194,0.21898,1.61401,0.05328,6.57963e-05,6.57963e-05,6.57963e-05
42,2542.53,0.54636,1.00545,0.11484,0.16355,0.3,0.22052,0.15337,0.21074,1.26488,0.04577,6.43101e-05,6.43101e-05,6.43101e-05
43,2599.37,0.54099,0.91204,0.10916,0.16287,0.3,0.19493,0.11336,0.30095,1.27373,0.05513,6.28101e-05,6.28101e-05,6.28101e-05
44,2656.72,0.52731,1.00519,0.11036,0.19341,0.36667,0.21707,0.15019,0.19699,1.29295,0.04721,6.12981e-05,6.12981e-05,6.12981e-05
45,2713.48,0.53322,0.90059,0.11157,0.19856,0.46667,0.28248,0.16431,0.28866,1.15617,0.06141,5.97754e-05,5.97754e-05,5.97754e-05
46,2770.75,0.50708,0.98956,0.11841,0.14627,0.46667,0.20538,0.15095,0.21248,1.4076,0.04902,5.82435e-05,5.82435e-05,5.82435e-05
47,2836.33,0.50135,0.98876,0.11492,0.20751,0.36667,0.23685,0.17117,0.20504,1.2639,0.05216,5.6704e-05,5.6704e-05,5.6704e-05
48,2893.08,0.52897,0.89309,0.11082,0.20115,0.43333,0.2037,0.11462,0.31964,1.21808,0.06927,5.51584e-05,5.51584e-05,5.51584e-05
49,2949.51,0.5232,1.03866,0.10874,0.14783,0.4,0.18446,0.12277,0.22786,1.46226,0.04668,5.36081e-05,5.36081e-05,5.36081e-05
50,3005.52,0.50804,0.98035,0.10492,0.20146,0.4,0.24219,0.15685,0.18073,1.27549,0.03603,5.20548e-05,5.20548e-05,5.20548e-05
51,3062.18,0.49411,0.92026,0.11271,0.19441,0.46667,0.21572,0.13039,0.27134,1.21763,0.05615,5.05e-05,5.05e-05,5.05e-05
52,3125.11,0.50446,0.97919,0.09216,0.1537,0.4,0.184,0.13754,0.2355,1.3608,0.04944,4.89452e-05,4.89452e-05,4.89452e-05
53,3181.08,0.49437,0.97786,0.10505,0.17898,0.43333,0.2092,0.14441,0.2164,1.27784,0.04964,4.73919e-05,4.73919e-05,4.73919e-05
54,3237.98,0.48098,0.92081,0.10925,0.17005,0.46667,0.233,0.13964,0.25589,1.23427,0.0591,4.58416e-05,4.58416e-05,4.58416e-05
55,3295.02,0.48808,0.97457,0.10369,0.19385,0.43333,0.22529,0.15122,0.22335,1.37011,0.0552,4.4296e-05,4.4296e-05,4.4296e-05
56,3351.76,0.48102,0.98196,0.09007,0.22535,0.46667,0.22613,0.16201,0.21621,1.28879,0.04677,4.27565e-05,4.27565e-05,4.27565e-05
57,3410.75,0.47642,0.92341,0.09285,0.23246,0.4,0.22653,0.16351,0.18803,1.29216,0.03988,4.12246e-05,4.12246e-05,4.12246e-05
58,3467.83,0.46472,0.94556,0.08696,0.21092,0.39215,0.22426,0.15582,0.19793,1.27608,0.04765,3.97019e-05,3.97019e-05,3.97019e-05
