epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
1.0,99.214994,0.000076,,,,,,,0.015182,0.203228,0.013792,0.059853,0.011306,0.118277,0.000008,2644.576923,0.220509,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,98.933293,0.000100,,,,,,,0.015364,0.118779,0.027065,0.041473,0.009261,0.040980,0.000010,2646.355769,0.220694,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,98.848783,0.000100,,,,,,,0.015236,0.112465,0.032159,0.041485,0.008317,0.030504,0.000010,2656.923077,0.219473,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,98.964280,0.000100,,,,,,,0.015361,0.106470,0.036840,0.040335,0.007254,0.022041,0.000010,2672.557692,0.220640,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,98.825308,0.000100,,,,,,,0.015005,0.101547,0.038054,0.037812,0.006973,0.018708,0.000010,2647.365385,0.219978,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,98.850661,0.000099,,,,,,,0.014907,0.099277,0.039358,0.036148,0.006788,0.016983,0.000010,2645.653846,0.220091,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,98.803711,0.000099,,,,,,,0.015422,0.095823,0.040169,0.035407,0.006129,0.014117,0.000010,2662.163462,0.220642,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,98.924842,0.000099,,,,,,,0.015212,0.090540,0.039789,0.032773,0.005912,0.012067,0.000010,2648.576923,0.219880,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,98.955829,0.000098,,,,,,,0.014974,0.086018,0.038827,0.031015,0.005688,0.010488,0.000010,2649.875000,0.218793,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,98.842210,0.000098,,,,,,,0.015301,0.087011,0.040769,0.031168,0.005488,0.009585,0.000010,2650.788462,0.219048,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,99.039401,0.000098,,,,,,,0.014811,0.081422,0.038498,0.029107,0.005346,0.008470,0.000010,2632.336538,0.218969,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,99.015925,0.000097,,,,,,,0.014935,0.079642,0.038350,0.027505,0.005263,0.008525,0.000010,2634.278846,0.220874,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,99.032828,0.000097,,,,,,,0.014408,0.078599,0.039206,0.026816,0.005139,0.007438,0.000010,2630.096154,0.219232,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,99.064754,0.000096,,,,,,,0.014746,0.073976,0.037292,0.025116,0.005090,0.006479,0.000010,2617.961538,0.217658,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,99.052547,0.000095,,,,,,,0.014721,0.076326,0.039267,0.026061,0.005014,0.005984,0.000010,2637.701923,0.215982,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,99.119216,0.000095,,,,,,,0.014809,0.074252,0.038672,0.025222,0.004840,0.005518,0.000010,2657.663462,0.217228,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,99.030950,0.000094,,,,,,,0.014859,0.073975,0.039163,0.024918,0.004642,0.005252,0.000009,2640.326923,0.218570,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,99.057242,0.000093,,,,,,,0.014929,0.071919,0.037955,0.024249,0.004628,0.005087,0.000009,2644.500000,0.221134,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,99.232835,0.000092,,,,,,,0.014776,0.069316,0.036892,0.022787,0.004621,0.005016,0.000009,2632.096154,0.216995,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,99.077900,0.000091,,,,,,,0.015065,0.067296,0.036560,0.022091,0.004510,0.004135,0.000009,2631.903846,0.218818,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,99.097619,0.000091,,,,,,,0.014713,0.067533,0.037276,0.022500,0.004215,0.003542,0.000009,2631.134615,0.216561,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,99.242225,0.000090,,,,,,,0.014700,0.064555,0.035982,0.020901,0.004405,0.003268,0.000009,2658.384615,0.216906,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,99.125789,0.000089,,,,,,,0.014767,0.066151,0.036707,0.021831,0.004361,0.003251,0.000009,2661.096154,0.217349,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,99.136118,0.000088,,,,,,,0.014785,0.065501,0.036445,0.021276,0.004370,0.003410,0.000009,2653.605769,0.217927,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,99.109826,0.000087,,,,,,,0.014957,0.062957,0.034951,0.020663,0.004220,0.003122,0.000009,2668.211538,0.217599,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,99.193397,0.000086,,,,,,,0.014630,0.063061,0.035912,0.020369,0.004095,0.002684,0.000009,2624.096154,0.217398,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,99.249737,0.000084,,,,,,,0.014637,0.063988,0.037082,0.020385,0.004047,0.002474,0.000009,2664.721154,0.217007,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,99.248798,0.000083,,,,,,,0.014047,0.062354,0.035895,0.019680,0.003980,0.002799,0.000008,2644.711538,0.224817,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,99.207482,0.000082,,,,,,,0.014547,0.060241,0.035316,0.018841,0.003865,0.002219,0.000008,2653.076923,0.216844,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,99.307955,0.000081,,,,,,,0.014659,0.059492,0.034978,0.018380,0.003921,0.002212,0.000008,2636.759615,0.216270,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,99.251615,0.000080,,,,,,,0.014669,0.059231,0.034563,0.018725,0.003693,0.002250,0.000008,2641.778846,0.218133,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,99.217811,0.000078,,,,,,,0.014862,0.059215,0.035047,0.018312,0.003715,0.002141,0.000008,2644.817308,0.218005,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,99.297626,0.000077,,,,,,,0.014837,0.057840,0.034458,0.017970,0.003736,0.001675,0.000008,2649.932692,0.217240,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,99.246920,0.000076,,,,,,,0.014679,0.056736,0.033724,0.017324,0.003688,0.002000,0.000008,2658.653846,0.217078,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,99.225323,0.000074,,,,,,,0.014780,0.057789,0.034461,0.017951,0.003651,0.001727,0.000008,2656.990385,0.215958,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,99.240347,0.000073,,,,,,,0.014762,0.056982,0.034550,0.017221,0.003508,0.001704,0.000008,2637.519231,0.217247,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,99.290114,0.000072,,,,,,,0.014683,0.055219,0.033632,0.016954,0.003367,0.001267,0.000007,2632.750000,0.217480,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,99.278846,0.000070,,,,,,,0.014712,0.053901,0.032387,0.016515,0.003534,0.001464,0.000007,2647.000000,0.216960,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,99.307016,0.000069,,,,,,,0.014836,0.053442,0.032186,0.016471,0.003374,0.001412,0.000007,2639.980769,0.217366,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,99.318284,0.000067,,,,,,,0.014908,0.051303,0.030923,0.015563,0.003475,0.001341,0.000007,2624.269231,0.217391,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,99.380258,0.000066,,,,,,,0.014743,0.050619,0.031075,0.015155,0.003236,0.001153,0.000007,2640.115385,0.216873,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,99.338942,0.000064,,,,,,,0.015076,0.050924,0.031210,0.015357,0.003192,0.001165,0.000007,2639.509615,0.218217,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,99.407489,0.000063,,,,,,,0.015263,0.049306,0.030359,0.014664,0.003199,0.001085,0.000007,2641.346154,0.218183,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,99.448806,0.000061,,,,,,,0.015278,0.047759,0.029331,0.014209,0.003143,0.001076,0.000006,2645.923077,0.218341,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,99.402794,0.000060,,,,,,,0.014878,0.048258,0.029654,0.014180,0.003227,0.001198,0.000006,2644.942308,0.216531,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,99.417819,0.000058,,,,,,,0.014688,0.047331,0.029260,0.014121,0.003018,0.000932,0.000006,2623.163462,0.214806,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,99.451623,0.000057,,,,,,,0.015003,0.046162,0.028558,0.013613,0.002924,0.001066,0.000006,2649.519231,0.215840,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,99.453501,0.000055,,,,,,,0.015391,0.045867,0.028511,0.013642,0.002821,0.000893,0.000006,2650.259615,0.213204,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,99.444111,0.000054,,,,,,,0.015812,0.046517,0.028861,0.013727,0.002972,0.000958,0.000006,2642.442308,0.214853,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,99.477915,0.000052,,,,,,,0.015452,0.043873,0.027411,0.012673,0.002922,0.000867,0.000006,2651.240385,0.215515,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,99.418758,0.000051,,,,,,,0.015193,0.044042,0.027379,0.012933,0.002937,0.000793,0.000005,2650.230769,0.216285,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,99.457257,0.000049,,,,,,,0.015689,0.043830,0.027351,0.012917,0.002775,0.000787,0.000005,2644.865385,0.215106,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,99.468525,0.000047,,,,,,,0.015901,0.042989,0.027072,0.012474,0.002772,0.000672,0.000005,2641.211538,0.215628,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,99.482610,0.000046,,,,,,,0.016142,0.042251,0.026368,0.012358,0.002724,0.000800,0.000005,2654.288462,0.217029,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,99.527682,0.000044,,,,,,,0.015821,0.041318,0.025979,0.011655,0.002728,0.000955,0.000005,2632.673077,0.215583,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,99.523926,0.000043,,,,,,,0.015902,0.042000,0.026288,0.012255,0.002710,0.000748,0.000005,2634.923077,0.215562,,,,,,,,,,,,,,,,,,,,,,,,,
