epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
26.0,99.571815,0.000086,,,,,,,0.014457,0.038544,0.024998,0.010888,0.002229,0.000428,0.000009,2650.173077,0.194180,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,99.563364,0.000084,,,,,,,0.014449,0.037123,0.024225,0.010277,0.002165,0.000457,0.000009,2633.576923,0.193760,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,99.611253,0.000083,,,,,,,0.014541,0.036664,0.024191,0.009943,0.002135,0.000395,0.000008,2637.086538,0.194333,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,99.600924,0.000082,,,,,,,0.014923,0.035655,0.023214,0.009924,0.002105,0.000413,0.000008,2638.942308,0.194520,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,99.582144,0.000081,,,,,,,0.014895,0.034327,0.022475,0.009337,0.002055,0.000460,0.000008,2630.519231,0.194739,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,99.604680,0.000080,,,,,,,0.014997,0.033467,0.021931,0.009088,0.001967,0.000480,0.000008,2648.528846,0.193716,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,99.621582,0.000078,,,,,,,0.014925,0.033377,0.022035,0.008942,0.001960,0.000440,0.000008,2644.076923,0.194184,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,99.609375,0.000077,,,,,,,0.015077,0.033492,0.022086,0.009114,0.001937,0.000354,0.000008,2645.355769,0.195343,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,99.637545,0.000076,,,,,,,0.014755,0.032130,0.021045,0.008741,0.001923,0.000421,0.000008,2643.567308,0.193235,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,99.644118,0.000074,,,,,,,0.014943,0.032489,0.021104,0.008989,0.001911,0.000485,0.000008,2648.096154,0.194761,,,,,,,,,,,,,,,,,,,,,,,,,
