epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,610.979,1.08747,0.79004,1.05431,0.87284,0.66667,0.77606,0.4975,1.09531,1.01745,1.11971,0.0012862,0.0012862,0.0012862
43,625.281,1.07648,0.75886,1.05828,0.88003,0.83333,0.82824,0.57852,0.97943,0.88675,1.0606,0.0012562,0.0012562,0.0012562
44,640.291,1.11709,0.77572,1.06012,0.86277,0.86667,0.87154,0.55734,1.00579,0.84929,1.05164,0.00122596,0.00122596,0.00122596
45,655.266,1.03558,0.78431,1.03193,0.82013,0.76011,0.78904,0.53704,1.01594,0.82474,1.05783,0.00119551,0.00119551,0.00119551
46,669.718,1.07042,0.7443,1.01191,0.86201,0.8,0.80042,0.50958,1.07378,0.95576,1.06405,0.00116487,0.00116487,0.00116487
47,683.944,1.07398,0.7472,1.01035,0.77251,0.83333,0.78235,0.54632,1.03116,0.85866,1.04575,0.00113408,0.00113408,0.00113408
48,698.001,1.03142,0.74188,1.03901,0.89206,0.82667,0.83664,0.56256,1.15669,0.87879,1.08033,0.00110317,0.00110317,0.00110317
49,712.718,1.07528,0.77151,1.04939,0.88997,0.8091,0.81793,0.55754,1.0286,0.98769,1.05648,0.00107216,0.00107216,0.00107216
50,726.978,1.03831,0.72795,1.02725,0.88493,0.76909,0.80547,0.57266,0.97813,0.89998,1.04666,0.0010411,0.0010411,0.0010411
51,741.291,1.00031,0.71264,1.00877,0.85867,0.83333,0.82984,0.60034,0.94064,0.82796,1.07847,0.00101,0.00101,0.00101
52,756.143,1.03391,0.69996,1.01985,0.89528,0.85523,0.9067,0.59024,1.04427,0.81263,1.04594,0.000978903,0.000978903,0.000978903
53,770.333,1.01492,0.70394,1.00949,0.89307,0.83521,0.86457,0.60735,1.07411,0.82863,1.02484,0.000947837,0.000947837,0.000947837
54,785.183,1.00519,0.71428,1.02326,0.9202,0.83333,0.8611,0.60943,1.05143,0.77018,0.99767,0.000916833,0.000916833,0.000916833
55,800.599,0.97573,0.69435,0.99854,1,0.86449,0.92906,0.61785,1.01146,0.7062,1.00533,0.00088592,0.00088592,0.00088592
56,815.348,0.96509,0.68848,1.0079,0.95783,0.93333,0.93017,0.64776,0.92526,0.64133,0.98209,0.00085513,0.00085513,0.00085513
57,830.253,0.99632,0.6818,1.00219,0.95442,0.93333,0.9281,0.63354,1.07569,0.70426,1.07097,0.000824492,0.000824492,0.000824492
58,844.389,1.01537,0.67692,1.00727,0.92694,0.93333,0.90991,0.65583,0.98857,0.6723,0.99778,0.000794038,0.000794038,0.000794038
59,859.135,0.98529,0.70712,1.01702,0.96,0.9,0.93637,0.65987,0.93465,0.61335,0.97944,0.000763797,0.000763797,0.000763797
60,873.354,0.97324,0.67279,1.01387,0.96539,0.92988,0.92914,0.68388,0.94938,0.61757,0.99321,0.000733799,0.000733799,0.000733799
61,888.28,0.95427,0.62213,0.96935,0.96426,0.93333,0.92569,0.66301,0.88358,0.60297,0.96865,0.000704073,0.000704073,0.000704073
62,902.508,0.98047,0.6872,1.01059,0.96154,0.86667,0.93312,0.67591,0.8746,0.63208,0.9743,0.000674649,0.000674649,0.000674649
63,916.758,0.92867,0.60512,0.97566,0.96284,0.86382,0.8902,0.67815,0.87905,0.64475,0.97586,0.000645557,0.000645557,0.000645557
64,931.162,0.97519,0.67014,1.01481,0.91712,0.9,0.91274,0.66885,0.88097,0.63402,0.97636,0.000616824,0.000616824,0.000616824
65,943.966,0.9376,0.64268,0.99877,0.93278,0.92528,0.94955,0.68846,0.90244,0.56918,0.9556,0.000588479,0.000588479,0.000588479
66,958.56,0.94855,0.6144,0.98144,1,0.89608,0.94939,0.67746,0.89106,0.59686,0.96092,0.000560549,0.000560549,0.000560549
67,971.863,0.95184,0.62585,0.98399,0.99789,0.86667,0.929,0.65428,0.93725,0.63033,0.96937,0.000533064,0.000533064,0.000533064
68,985.309,0.92383,0.62455,0.98381,0.90602,0.8,0.86421,0.64336,0.88332,0.67873,0.95715,0.000506049,0.000506049,0.000506049
69,999.513,0.90323,0.5917,0.96492,0.8506,0.83333,0.85896,0.64691,0.84742,0.67488,0.95332,0.000479531,0.000479531,0.000479531
70,1013.32,0.90676,0.60481,0.9689,0.84625,0.9176,0.89595,0.66092,0.84761,0.65959,0.97399,0.000453537,0.000453537,0.000453537
71,1027.31,0.89284,0.58612,0.97309,0.89223,0.86667,0.90606,0.68073,0.83922,0.63826,0.96616,0.000428093,0.000428093,0.000428093
72,1041.64,0.92245,0.59518,0.95982,0.96148,0.83202,0.91234,0.64378,0.90882,0.6338,0.98166,0.000403222,0.000403222,0.000403222
73,1055.77,0.87611,0.5835,0.95379,0.96288,0.86474,0.92947,0.67011,0.87687,0.57123,0.9706,0.00037895,0.00037895,0.00037895
74,1069.56,0.8579,0.57154,0.9512,0.95915,0.9,0.92541,0.66569,0.91231,0.60285,0.98422,0.000355301,0.000355301,0.000355301
75,1083.93,0.88536,0.59442,0.97536,0.95336,0.86667,0.92248,0.67532,0.88952,0.62083,0.98489,0.000332298,0.000332298,0.000332298
76,1098.88,0.91786,0.60826,0.97871,0.90068,0.90701,0.92563,0.68456,0.84806,0.60388,0.96714,0.000309964,0.000309964,0.000309964
77,1114.59,0.85727,0.58968,0.94871,0.9444,0.9,0.93689,0.69595,0.84406,0.56557,0.95487,0.000288321,0.000288321,0.000288321
78,1130.16,0.82526,0.56402,0.95615,0.95625,0.86667,0.9306,0.65473,0.86067,0.57109,0.95467,0.00026739,0.00026739,0.00026739
79,1145.59,0.84004,0.56256,0.9463,0.95962,0.86667,0.92576,0.67484,0.82878,0.56361,0.94281,0.000247192,0.000247192,0.000247192
80,1161.07,0.85828,0.5354,0.96109,0.96516,0.9236,0.92914,0.6847,0.79999,0.56376,0.93617,0.000227747,0.000227747,0.000227747
81,1176.14,0.83981,0.55101,0.96268,0.96425,0.89917,0.9233,0.65839,0.84007,0.59614,0.95252,0.000209073,0.000209073,0.000209073
